"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 05/08/1975,     549.115,      9,     549.115,      9,     549.115,      9, 
00:00:00 06/08/1975,     549.115,      9,     549.115,      9,     549.115,      9, 
00:00:00 07/08/1975,     554.292,      9,     549.115,      9,     596.767,      9, 
00:00:00 08/08/1975,     604.712,      9,     587.563,      9,     621.043,      9, 
00:00:00 09/08/1975,     594.156,      9,     549.115,      9,     621.043,      9, 
00:00:00 10/08/1975,     617.428,      9,     604.498,      9,     621.043,      9, 
00:00:00 11/08/1975,     591.536,      9,     584.237,      9,     612.465,      9, 
00:00:00 12/08/1975,     620.879,      9,     612.465,      9,     621.043,      9, 
00:00:00 13/08/1975,     685.096,      9,     621.043,      9,     699.710,      9, 
00:00:00 14/08/1975,     690.465,      9,     672.192,      9,     699.710,      9, 
00:00:00 15/08/1975,     633.064,      9,     601.214,      9,     672.192,      9, 
00:00:00 16/08/1975,     576.615,      9,     549.115,      9,     601.214,      9, 
